Sr.No,Institute Name,Region,State,District,City,User Group,Location Display,Rating,Synthetic NIRF Rank,Short Description,Tag1,Tag2,Tag3,Ownership,Fees_Lakh,Fees_Display,Avg_Package_LPA,Avg_Package_Display,ROI_Score,Placement_Score,Faculty_Score,Campus_Score
110,CIET Delhi,North,Delhi NCR,Delhi,Delhi,B.Tech,"Delhi, Delhi NCR",7.6,110,Private engineering institute,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,7,₹7 LPA,127.27,7.5,7.6,7.7
111,SSN College,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.7,111,Private engineering college,Private College,Good Infrastructure,Good Placements,Private,6.5,₹6.5 Lakh,7,₹7 LPA,107.69,7.6,7.7,7.8
112,PK College Engineering,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.5,112,Private engineering college,Private College,Good Infrastructure,Affordable Fees,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.4,7.5,7.6
113,Nagarjuna College,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.6,113,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6.5,₹6.5 Lakh,7.5,₹7.5 LPA,115.38,7.5,7.6,7.7
114,Mallareddy Engineering,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.4,114,Private engineering college,Private College,Good Infrastructure,Affordable Fees,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
115,VNRVJIT Hyderabad,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.6,115,Private engineering college,Private College,Good Placements,Good Faculty,Private,7,₹7 Lakh,8,₹8 LPA,114.29,7.5,7.6,7.7
116,ANIT Warangal,South,Telangana,Warangal,Warangal,B.Tech,"Warangal, Telangana",7.5,116,Government engineering college,Government College,Good Placements,Good Faculty,Government,1.2,₹1.20 Lakh,8,₹8 LPA,666.67,7.4,7.5,7.6
117,University College of Engineering,North,Uttar Pradesh,Benares Hindu University,Varanasi,B.Tech,"Varanasi, Uttar Pradesh",7.6,117,University department engineering college,Government College,Historic Institution,Good Faculty,Government,0.5,₹0.50 Lakh,8,₹8 LPA,1600,7.5,7.6,7.7
118,GCE Kannur,South,Kerala,Kannur,Kannur,B.Tech,"Kannur, Kerala",7.5,118,Government engineering college,Government College,Good Infrastructure,Affordable Fees,Government,1.1,₹1.10 Lakh,8,₹8 LPA,727.27,7.4,7.5,7.6
119,JMIT Radaur,North,Haryana,Radaur,Radaur,B.Tech,"Radaur, Haryana",7.4,119,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,6.5,₹6.5 LPA,144.44,7.3,7.4,7.5
120,GNIT Nagpur,Central,Maharashtra,Nagpur,Nagpur,B.Tech,"Nagpur, Maharashtra",7.6,120,Government engineering college,Government College,Good Placements,Good Faculty,Government,1.3,₹1.30 Lakh,8.5,₹8.5 LPA,653.85,7.5,7.6,7.7
121,DIET Mohur,Central,Madhya Pradesh,Indore,Indore,B.Tech,"Indore, Madhya Pradesh",7.5,121,Government engineering college,Government College,Affordable Fees,Good Faculty,Government,1,₹1 Lakh,7.5,₹7.5 LPA,750,7.4,7.5,7.6
122,VIT Chennai,South,Tamil Nadu,Chennai,Chennai,B.Tech,"Chennai, Tamil Nadu",7.8,122,Private university,Private University,Modern Infrastructure,Good Placements,Private,7.5,₹7.5 Lakh,8.5,₹8.5 LPA,113.33,7.7,7.8,7.9
123,SCET Patna,East,Bihar,Patna,Patna,B.Tech,"Patna, Bihar",7.5,123,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.4,7.5,7.6
124,NIT Silchar UG,North-East,Assam,Silchar,Silchar,B.Tech,"Silchar, Assam",7.6,124,Government NIT undergraduate,Government NIT,Good Infrastructure,Good Faculty,Government,2.2,₹2.2 Lakh,7.5,₹7.5 LPA,340.91,7.5,7.6,7.7
125,VIT Pune,West,Maharashtra,Pune,Pune,B.Tech,"Pune, Maharashtra",7.7,125,Private university,Private University,Modern Infrastructure,Good Placements,Private,7,₹7 Lakh,8,₹8 LPA,114.29,7.6,7.7,7.8
126,JMIT Delhi,North,Delhi NCR,Delhi,Delhi,B.Tech,"Delhi, Delhi NCR",7.5,126,Private engineering institute,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,7,₹7 LPA,140,7.4,7.5,7.6
127,Kamaraj College,South,Tamil Nadu,Madurai,Madurai,B.Tech,"Madurai, Tamil Nadu",7.6,127,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6,₹6 Lakh,7,₹7 LPA,116.67,7.5,7.6,7.7
128,Banasthali University,West,Rajasthan,Newai,Newai,B.Tech,"Newai, Rajasthan",7.6,128,Women engineering university,Private University,Women Education,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.5,7.6,7.7
129,SUET Ghaziabad,North,Uttar Pradesh,Ghaziabad,Ghaziabad,B.Tech,"Ghaziabad, Uttar Pradesh",7.4,129,Private engineering college,Private College,Affordable Fees,Good Placements,Private,4.5,₹4.5 Lakh,6.5,₹6.5 LPA,144.44,7.3,7.4,7.5
130,MNIT Delhi,North,Delhi NCR,Delhi,Delhi,B.Tech,"Delhi, Delhi NCR",7.6,130,Government engineering college,Government College,Good Infrastructure,Good Faculty,Government,1.2,₹1.2 Lakh,7.5,₹7.5 LPA,625,7.5,7.6,7.7
131,GLANDEC Kannur,South,Kerala,Kannur,Kannur,B.Tech,"Kannur, Kerala",7.5,131,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.4,7.5,7.6
132,Ajay Kumar Garg Engineering,North,Uttar Pradesh,Ghaziabad,Ghaziabad,B.Tech,"Ghaziabad, Uttar Pradesh",7.4,132,Private engineering college,Private College,Affordable Fees,Good Placements,Private,4.5,₹4.5 Lakh,6,₹6 LPA,133.33,7.3,7.4,7.5
133,Shobhit University,North,Uttar Pradesh,Meerut,Meerut,B.Tech,"Meerut, Uttar Pradesh",7.5,133,Private university,Private University,Modern Infrastructure,Good Placements,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.4,7.5,7.6
134,UNEAT Lucknow,North,Uttar Pradesh,Lucknow,Lucknow,B.Tech,"Lucknow, Uttar Pradesh",7.4,134,Private engineering college,Private College,Affordable Fees,Good Placements,Private,5,₹5 Lakh,6,₹6 LPA,120,7.3,7.4,7.5
135,Poornima University,West,Rajasthan,Jaipur,Jaipur,B.Tech,"Jaipur, Rajasthan",7.5,135,Private university,Private University,Modern Infrastructure,Good Faculty,Private,7,₹7 Lakh,7,₹7 LPA,100,7.4,7.5,7.6
136,LNMIIT Jaipur,West,Rajasthan,Jaipur,Jaipur,B.Tech,"Jaipur, Rajasthan",8,136,Private institute with IT focus,Private Institute,IT Specialization,Good Placements,Private,12.5,₹12.5 Lakh,11,₹11 LPA,88,8,7.9,8
137,Manipal Institute of Technology,South,Karnataka,Manipal,Manipal,B.Tech,"Manipal, Karnataka",7.8,137,Private institute,Private Institute,IT Specialization,Good Placements,Private,12,₹12 Lakh,9.5,₹9.5 LPA,79.17,7.7,7.8,7.9
138,Sanskriti University,North,Uttar Pradesh,Mathura,Mathura,B.Tech,"Mathura, Uttar Pradesh",7.3,138,Private university,Private University,Scenic Campus,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.2,7.3,7.4
139,Gyanvitri Institute,West,Gujarat,Ahmedabad,Ahmedabad,B.Tech,"Ahmedabad, Gujarat",7.4,139,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6.5,₹6.5 LPA,130,7.3,7.4,7.5
140,Thapar Institute,North,Punjab,Patiala,Patiala,B.Tech,"Patiala, Punjab",8.1,140,Top private engineering institute,Private Institute,Strong Placements,Good Faculty,Private,12.5,₹12.5 Lakh,11,₹11 LPA,88,8.1,8,8.1
141,DMS MMMUT Gorakhpur,North,Uttar Pradesh,Gorakhpur,Gorakhpur,B.Tech,"Gorakhpur, Uttar Pradesh",7.5,141,Government engineering college,Government College,Affordable Fees,Good Faculty,Government,1,₹1 Lakh,7.5,₹7.5 LPA,750,7.4,7.5,7.6
142,Cosmos Institute,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.3,142,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
143,Sitara Institute,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.4,143,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
144,SVCE Bangalore,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.5,144,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.4,7.5,7.6
145,AKGEC Ghaziabad,North,Uttar Pradesh,Ghaziabad,Ghaziabad,B.Tech,"Ghaziabad, Uttar Pradesh",7.5,145,Private engineering college,Private College,Affordable Fees,Good Placements,Private,5.5,₹5.5 Lakh,7,₹7 LPA,127.27,7.4,7.5,7.6
146,BIE Bijnor,North,Uttar Pradesh,Bijnor,Bijnor,B.Tech,"Bijnor, Uttar Pradesh",7.3,146,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,6,₹6 LPA,133.33,7.2,7.3,7.4
147,SGVP Academy,West,Gujarat,Billimora,Billimora,B.Tech,"Billimora, Gujarat",7.2,147,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4,₹4 Lakh,5.5,₹5.5 LPA,137.5,7.1,7.2,7.3
148,IST Bangalore,South,Karnataka,Bangalore,Bangalore,B.Tech,"Bangalore, Karnataka",7.6,148,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,7,₹7 Lakh,7.5,₹7.5 LPA,107.14,7.5,7.6,7.7
149,JIT Davangere,South,Karnataka,Davangere,Davangere,B.Tech,"Davangere, Karnataka",7.4,149,Private engineering college,Private College,Affordable Fees,Good Placements,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
150,SUIT Coimbatore,South,Tamil Nadu,Coimbatore,Coimbatore,B.Tech,"Coimbatore, Tamil Nadu",7.5,150,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6.5,₹6.5 Lakh,7,₹7 LPA,107.69,7.4,7.5,7.6
151,AMC Engineering College,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.4,151,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
152,CMS Engineering College,South,Tamil Nadu,Coimbatore,Coimbatore,B.Tech,"Coimbatore, Tamil Nadu",7.5,152,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.4,7.5,7.6
153,Eastern West Bengal Institute,East,West Bengal,Kolkata,Kolkata,B.Tech,"Kolkata, West Bengal",7.3,153,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,6,₹6 LPA,133.33,7.2,7.3,7.4
154,HERITAGE Institute,North,Uttar Pradesh,Ghaziabad,Ghaziabad,B.Tech,"Ghaziabad, Uttar Pradesh",7.3,154,Private engineering college,Private College,Affordable Fees,Good Placements,Private,4.5,₹4.5 Lakh,6,₹6 LPA,133.33,7.2,7.3,7.4
155,JCSU Engineering,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.3,155,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
156,Operation Institute,West,Rajasthan,Jaipur,Jaipur,B.Tech,"Jaipur, Rajasthan",7.3,156,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.2,7.3,7.4
157,Precision Institute,South,Tamil Nadu,Coimbatore,Coimbatore,B.Tech,"Coimbatore, Tamil Nadu",7.4,157,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6,₹6 Lakh,6.5,₹6.5 LPA,108.33,7.3,7.4,7.5
158,Regency Institute,West,Gujarat,Ahmedabad,Ahmedabad,B.Tech,"Ahmedabad, Gujarat",7.3,158,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
159,Global Institute,North,Uttar Pradesh,Noida,Noida,B.Tech,"Noida, Uttar Pradesh",7.4,159,Private engineering college,Private College,Metro Location,Good Placements,Private,5.5,₹5.5 Lakh,7,₹7 LPA,127.27,7.3,7.4,7.5
160,Innovative Institute,South,Karnataka,Bengaluru,Bengaluru,B.Tech,"Bengaluru, Karnataka",7.5,160,Private engineering college,Private College,Tech Hub,Good Placements,Private,6.5,₹6.5 Lakh,7.5,₹7.5 LPA,115.38,7.4,7.5,7.6
161,Horizon Engineering,West,Maharashtra,Pune,Pune,B.Tech,"Pune, Maharashtra",7.5,161,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,6.5,₹6.5 Lakh,7.5,₹7.5 LPA,115.38,7.4,7.5,7.6
162,Knowledge Institute,Central,Madhya Pradesh,Bhopal,Bhopal,B.Tech,"Bhopal, Madhya Pradesh",7.3,162,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
163,Vision Engineering,West,Gujarat,Surat,Surat,B.Tech,"Surat, Gujarat",7.4,163,Private engineering college,Private College,Industrial City,Good Placements,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
164,Presence Institute,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.4,164,Private engineering college,Private College,Tech Hub,Good Placements,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
171,Revolution Engineering,Central,Madhya Pradesh,Indore,Indore,B.Tech,"Indore, Madhya Pradesh",7.4,171,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
172,Elite Institute,North,Uttar Pradesh,Ghaziabad,Ghaziabad,B.Tech,"Ghaziabad, Uttar Pradesh",7.3,172,Private engineering college,Private College,Affordable Fees,Good Placements,Private,4.5,₹4.5 Lakh,6,₹6 LPA,133.33,7.2,7.3,7.4
173,Advance Institute,West,Gujarat,Vadodara,Vadodara,B.Tech,"Vadodara, Gujarat",7.4,173,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
174,Pro Engineering College,South,Telangana,Hyderabad,Hyderabad,B.Tech,"Hyderabad, Telangana",7.4,174,Private engineering college,Private College,Tech Hub,Good Placements,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
175,Dynamic Institute,West,Maharashtra,Nagpur,Nagpur,B.Tech,"Nagpur, Maharashtra",7.3,175,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
176,Smart Institute,South,Tamil Nadu,Madurai,Madurai,B.Tech,"Madurai, Tamil Nadu",7.4,176,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
177,Tech Academy,Central,Madhya Pradesh,Jabalpur,Jabalpur,B.Tech,"Jabalpur, Madhya Pradesh",7.3,177,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
178,Modern Academy,West,Rajasthan,Jodhpur,Jodhpur,B.Tech,"Jodhpur, Rajasthan",7.3,178,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
179,Bright Institute,North,Uttar Pradesh,Kanpur,Kanpur,B.Tech,"Kanpur, Uttar Pradesh",7.4,179,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
180,Golden Institute,South,Karnataka,Mysore,Mysore,B.Tech,"Mysore, Karnataka",7.4,180,Private engineering college,Private College,Good Infrastructure,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.3,7.4,7.5
181,Vibrant Institute,West,Gujarat,Rajkot,Rajkot,B.Tech,"Rajkot, Gujarat",7.3,181,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
182,Pro University,North,Uttar Pradesh,Lucknow,Lucknow,B.Tech,"Lucknow, Uttar Pradesh",7.4,182,Private university,Private University,Good Infrastructure,Good Placements,Private,6,₹6 Lakh,7,₹7 LPA,116.67,7.3,7.4,7.5
183,Next Gen Academy,South,Telangana,Secunderabad,Secunderabad,B.Tech,"Secunderabad, Telangana",7.3,183,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
184,Lead Academy,West,Maharashtra,Aurangabad,Aurangabad,B.Tech,"Aurangabad, Maharashtra",7.3,184,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
185,Star Institute,Central,Chhattisgarh,Bilaspur,Bilaspur,B.Tech,"Bilaspur, Chhattisgarh",7.2,185,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
186,Top Academy,West,Rajasthan,Udaipur,Udaipur,B.Tech,"Udaipur, Rajasthan",7.3,186,Private engineering college,Private College,Scenic Location,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.2,7.3,7.4
187,Strategic Academy,South,Tamil Nadu,Thanjavur,Thanjavur,B.Tech,"Thanjavur, Tamil Nadu",7.3,187,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
188,Classic Institute,North,Uttarakhand,Haridwar,Haridwar,B.Tech,"Haridwar, Uttarakhand",7.2,188,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
189,Unique Institute,South,Karnataka,Tumkur,Tumkur,B.Tech,"Tumkur, Karnataka",7.3,189,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
190,Classical Academy,West,Gujarat,Mehsana,Mehsana,B.Tech,"Mehsana, Gujarat",7.2,190,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
191,Modified Institute,North,Punjab,Ludhiana,Ludhiana,B.Tech,"Ludhiana, Punjab",7.3,191,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
192,Compact Institute,South,Andhra Pradesh,Vijayawada,Vijayawada,B.Tech,"Vijayawada, Andhra Pradesh",7.2,192,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
193,Active Institute,North,Haryana,Faridabad,Faridabad,B.Tech,"Faridabad, Haryana",7.3,193,Private engineering college,Private College,Metro Proximity,Good Faculty,Private,5,₹5 Lakh,6.5,₹6.5 LPA,130,7.2,7.3,7.4
194,Fusion Institute,West,Maharashtra,Latur,Latur,B.Tech,"Latur, Maharashtra",7.2,194,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
195,Venture Academy,Central,Madhya Pradesh,Gwalior,Gwalior,B.Tech,"Gwalior, Madhya Pradesh",7.3,195,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
196,Axis Academy,South,Telangana,Karim Nagar,Karim Nagar,B.Tech,"Karim Nagar, Telangana",7.2,196,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
197,Zenith Institute,North,Uttar Pradesh,Aligarh,Aligarh,B.Tech,"Aligarh, Uttar Pradesh",7.3,197,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
198,Orbit Institute,West,Gujarat,Anand,Anand,B.Tech,"Anand, Gujarat",7.2,198,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,4.5,₹4.5 Lakh,5.5,₹5.5 LPA,122.22,7.1,7.2,7.3
199,Summit Academy,South,Tamil Nadu,Errode,Errode,B.Tech,"Errode, Tamil Nadu",7.3,199,Private engineering college,Private College,Affordable Fees,Good Faculty,Private,5,₹5 Lakh,6,₹6 LPA,120,7.2,7.3,7.4
200,Peak Institute,West,Maharashtra,Vasai,Vasai,B.Tech,"Vasai, Maharashtra",7.3,200,Private engineering college,Private College,Metro Proximity,Good Faculty,Private,5.5,₹5.5 Lakh,6.5,₹6.5 LPA,118.18,7.2,7.3,7.4
201,Delhi University,North,Delhi NCR,Delhi,Delhi,B.Sc,"Delhi, Delhi NCR",7.5,201,Leading government university with strong academics,Government Institute,Historic Institution,Affordable Fees,Government,0.5,₹0.50 Lakh,6,₹6 LPA,1200,7.4,7.5,7.6
